type,amount,nameOrig,oldBalanceOrig,newBalanceOrig,nameDest,oldBalanceDest,newBalanceDest,isFraud,isFlaggedFraud
CASH_OUT,286417.98,C1905410229,51719.0,0.0,C296121376,0.0,156760.78,0,0
CASH_OUT,297734.01,C1301228797,0.0,0.0,C1477979030,355036.0,9113630.99,0,0
CASH_OUT,370873.45,C1020804469,0.0,0.0,C1750956965,1084102.46,2884719.28,0,0
CASH_OUT,471390.8,C54809409,0.0,0.0,C128870695,12498907.14,14079522.95,0,0
CASH_OUT,142268.91,C1754081885,39592.73,0.0,C1916720513,6762339.4,6760548.76,0,0
CASH_OUT,3567795.25,C2091267163,3567795.25,0.0,C1391718831,0.0,3567795.25,1,0
CASH_OUT,136653.55,C357183782,795985.0,659331.45,C1191544932,0.0,0.0,0,0
CASH_OUT,1318024.48,C1034418491,1318024.48,0.0,C2100824966,544.32,1318568.8,1,0
CASH_OUT,311864.41,C786722925,0.0,0.0,C769342184,12635571.95,12947436.37,0,0
CASH_OUT,306419.73,C1806758197,306419.73,0.0,C1577735864,314156.56,620576.28,1,0
TRANSFER,412254.84,C684660636,0.0,0.0,C1419794148,1664999.54,2077254.38,0,0
TRANSFER,45807.51,C958487787,45807.51,0.0,C218393296,0.0,0.0,1,0
CASH_OUT,20131.01,C1142442663,0.0,0.0,C1973191571,127424.27,147555.28,0,0
TRANSFER,221511.12,C687647842,221511.12,0.0,C110165718,0.0,0.0,1,0
CASH_OUT,39267.55,C1162128198,0.0,0.0,C1013700132,1352679.17,1391946.72,0,0
CASH_OUT,115782.68,C1315392572,115782.68,0.0,C149911894,45843.46,161626.14,1,0
CASH_OUT,32871.76,C896212135,0.0,0.0,C1075238398,142817.12,683602.27,0,0
TRANSFER,187429.05,C52401871,0.0,0.0,C515132998,588750.46,776179.51,0,0
CASH_OUT,249984.75,C1735200144,249984.75,0.0,C1452851320,0.0,249984.75,1,0
CASH_OUT,245288.18,C1415985691,0.0,0.0,C1931283804,342802.07,738133.23,0,0
CASH_OUT,36574.67,C189932726,0.0,0.0,C283747838,66998.7,103573.36,0,0
CASH_OUT,75018.82,C1812709667,22257.0,0.0,C1326121635,0.0,202020.02,0,0
CASH_OUT,91967.64,C1412993013,0.0,0.0,C563780374,191806.99,283774.63,0,0
TRANSFER,4640633.37,C180932654,4640633.37,0.0,C1673286866,0.0,0.0,1,0
CASH_OUT,329948.48,C510467305,0.0,0.0,C36856762,668673.82,998622.3,0,0
CASH_OUT,78874.27,C1635379759,1324858.99,1245984.72,C843774579,899588.81,501118.93,0,0
CASH_OUT,249292.59,C981804232,0.0,0.0,C1857852787,2421807.71,3020159.75,0,0
CASH_OUT,9198459.96,C1904629487,9198459.96,0.0,C1741955070,258747.84,15173859.31,1,0
CASH_OUT,564428.26,C2028840824,0.0,0.0,C302870502,2134427.17,3116947.09,0,0
CASH_OUT,9917.26,C153370345,13687.0,3769.74,C305646302,0.0,0.0,0,0
TRANSFER,38830.84,C847589588,0.0,0.0,C1065349988,183862.81,222693.65,0,0
TRANSFER,99225.27,C72125807,288633.17,189407.91,C130777353,130569.28,229794.54,0,0
TRANSFER,3025340.38,C260055090,9749.7,0.0,C2078250226,4572011.3,8332240.52,0,0
CASH_OUT,171757.76,C1673916398,0.0,0.0,C2050019814,205811.8,0.0,0,0
CASH_OUT,36300.36,C1155447052,0.0,0.0,C878506901,80893.63,117193.99,0,0
CASH_OUT,71729.96,C1502070032,71729.96,0.0,C2082391847,604151.3,675881.26,1,0
TRANSFER,533650.65,C788330405,1728907.45,1195256.81,C1089993541,690630.15,1741771.65,0,0
CASH_OUT,106408.86,C1527245328,17473.0,0.0,C38769879,15217.0,121625.86,0,0
CASH_OUT,51474.33,C1202337184,203184.0,151709.67,C932796396,152540.44,6705813.49,0,0
CASH_OUT,164411.83,C750617950,21236.0,0.0,C225852166,11542.0,421519.16,0,0
CASH_OUT,58748.69,C1545438645,0.0,0.0,C1009972184,226869.64,361559.69,0,0
TRANSFER,8607089.62,C546277701,8607089.62,0.0,C680858375,0.0,0.0,1,0
CASH_OUT,15698.11,C621096908,0.0,0.0,C257099532,52051.0,0.0,0,0
CASH_OUT,47459.2,C518141273,0.0,0.0,C208427878,1264279.92,1454807.63,0,0
CASH_OUT,2095699.93,C1198999595,2095699.93,0.0,C1703277739,0.0,2095699.93,1,0
CASH_OUT,212706.01,C50166011,63014.49,0.0,C1883840933,20282858.85,25330272.63,0,0
TRANSFER,121543.83,C2080970760,121543.83,0.0,C723423255,0.0,0.0,1,0
CASH_OUT,106412.57,C1517453017,0.0,0.0,C207258326,168576.17,554667.75,0,0
CASH_OUT,828.46,C788517632,0.0,0.0,C1827996167,10227.0,347511.7,0,0
CASH_OUT,122639.34,C2124143230,122639.34,0.0,C1974637471,979453.17,1102092.51,1,0
TRANSFER,529738.3,C1689335507,20791.0,0.0,C771303504,711123.07,1383874.29,0,0
CASH_OUT,80738.24,C451791625,0.0,0.0,C1234363215,380636.12,353601.18,0,0
CASH_OUT,153051.16,C153786774,31573.0,0.0,C1247051677,1528686.68,1681737.84,0,0
CASH_OUT,444890.24,C1835305867,0.0,0.0,C151400576,652206.97,1276550.33,0,0
CASH_OUT,74414.1,C20869132,0.0,0.0,C1677262317,397276.66,471690.76,0,0
CASH_OUT,48858.79,C1988083111,0.0,0.0,C855085682,115251.94,436610.38,0,0
TRANSFER,473387.81,C2062128137,473387.81,0.0,C53265363,0.0,0.0,1,0
CASH_OUT,96461.1,C633264459,48910.0,0.0,C749672494,3083778.54,5225701.71,0,0
TRANSFER,524648.99,C1343880990,0.0,0.0,C767904468,1266951.89,1791600.88,0,0
CASH_OUT,11668.52,C736727906,1298.0,0.0,C382697424,36332.28,368836.97,0,0
CASH_OUT,124582.58,C1098290230,124582.58,0.0,C1739564153,320485.06,445067.64,1,0
CASH_OUT,161795.9,C1868809295,0.0,0.0,C97730845,9867773.73,9940339.29,0,0
TRANSFER,1067743.66,C1369314550,20921.0,0.0,C12793273,0.0,1658746.09,0,0
TRANSFER,236947.25,C1273047168,236947.25,0.0,C1636242484,0.0,0.0,1,0
TRANSFER,1685701.48,C505250106,0.0,0.0,C1805683209,4146681.04,5876339.66,0,0
CASH_OUT,99804.08,C936005237,976205.0,876400.92,C917187702,0.0,99804.08,0,0
CASH_OUT,236310.77,C268516481,1170.0,0.0,C1624533975,0.0,394387.32,0,0
CASH_OUT,29164.54,C31142168,0.0,0.0,C378218735,69588.0,98752.54,0,0
TRANSFER,17320.91,C788790720,17320.91,0.0,C1589547066,0.0,0.0,1,0
TRANSFER,63624.08,C1872359745,63624.08,0.0,C1089130504,0.0,0.0,1,0
TRANSFER,64181.21,C2122561509,64181.21,0.0,C1173885785,0.0,0.0,1,0
CASH_OUT,4737833.35,C450630495,4737833.35,0.0,C1565281210,11580904.9,16318738.25,1,0
CASH_OUT,24501.27,C964758823,0.0,0.0,C1898859288,36741.44,896323.73,0,0
CASH_OUT,296046.74,C1143857583,0.0,0.0,C1325038895,484926.83,1943673.08,0,0
CASH_OUT,270905.27,C772795415,13864.5,0.0,C1089177065,919445.18,1076036.85,0,0
TRANSFER,3354215.55,C1128510858,3354215.55,0.0,C907385207,0.0,0.0,1,0
TRANSFER,374178.28,C486342629,374178.28,0.0,C249139572,0.0,0.0,1,0
CASH_OUT,44164.0,C1262447125,44164.0,0.0,C461319045,999955.56,1044119.56,1,0
CASH_OUT,3642569.29,C1013288403,3642569.29,0.0,C581415324,1907850.52,5550419.81,1,0
CASH_OUT,210303.34,C1199543737,27777.0,0.0,C506386263,0.0,1297594.67,0,0
CASH_OUT,331829.94,C1357985676,331829.94,0.0,C255246845,792855.99,1124685.94,1,0
CASH_OUT,28591.56,C1269112950,107140.0,78548.44,C1213485528,99206.24,134678.86,0,0
TRANSFER,85303.24,C652160524,85303.24,0.0,C305321296,0.0,0.0,1,0
CASH_OUT,51112.3,C1239727207,122957.0,71844.7,C1511598070,1793961.5,2496944.47,0,0
CASH_OUT,296156.97,C1706729494,296156.97,0.0,C1382749859,1385822.34,1681979.31,1,0
CASH_OUT,80885.48,C2065836466,80885.48,0.0,C582821182,756653.51,837538.99,1,0
CASH_OUT,143634.1,C2008936268,0.0,0.0,C1615443145,420751.8,2907944.14,0,0
CASH_OUT,161471.39,C39054770,0.0,0.0,C1441210143,583560.41,841324.86,0,0
TRANSFER,128426.58,C1842985263,128426.58,0.0,C840755462,0.0,0.0,1,0
CASH_OUT,84380.74,C1663399219,71035.0,0.0,C897184208,0.0,167592.71,0,0
CASH_OUT,17819.15,C648529488,76428.0,58608.85,C483817115,322.0,10014348.15,0,0
TRANSFER,596127.11,C431054678,596127.11,0.0,C1864318595,0.0,0.0,1,0
TRANSFER,934915.03,C1416220329,5982.0,0.0,C496695089,0.0,1908925.89,0,0
TRANSFER,3912252.81,C1027836426,3912252.81,0.0,C1420360945,0.0,0.0,1,0
CASH_OUT,50804.05,C1650013494,0.0,0.0,C1520366382,574769.13,1181881.76,0,0
CASH_OUT,113370.5,C1768091600,0.0,0.0,C726762476,255127.82,368498.32,0,0
CASH_OUT,4257337.62,C1677738676,4257337.62,0.0,C1017016927,3108.24,4260445.86,1,0
CASH_OUT,40242.93,C711132402,10086.0,0.0,C758888772,35503.13,956858.04,0,0
TRANSFER,82750.0,C1893124712,82750.0,0.0,C199658774,0.0,0.0,1,0
CASH_OUT,951451.17,C1441123126,951451.17,0.0,C667076483,1430666.86,2382118.03,1,0
CASH_OUT,695621.5,C610353475,0.0,0.0,C582320549,1476792.81,2172414.31,0,0
CASH_OUT,272187.2,C1661574690,272187.2,0.0,C1460474682,0.0,272187.2,1,0
TRANSFER,448004.86,C2088582248,448004.86,0.0,C534171533,0.0,0.0,1,0
CASH_OUT,32155.67,C497076691,0.0,0.0,C1848415041,44968.66,77124.33,0,0
TRANSFER,879136.17,C2075685093,879136.17,0.0,C1475814137,0.0,0.0,1,0
CASH_OUT,4022667.54,C79951219,4022667.54,0.0,C1499489682,80136.56,4057191.21,1,0
CASH_OUT,39486.14,C309533797,19331.0,0.0,C949483950,612054.13,324044.17,0,0
CASH_OUT,149963.5,C1128572113,5291.0,0.0,C1923554921,382985.0,1290662.86,0,0
CASH_OUT,290975.16,C1008774102,0.0,0.0,C505973878,388145.62,922645.99,0,0
CASH_OUT,276214.51,C949214756,222482.86,0.0,C459857341,345775.32,542963.38,0,0
CASH_OUT,283611.13,C2081158789,0.0,0.0,C466505482,371841.93,655453.06,0,0
TRANSFER,387952.42,C374179954,387952.42,0.0,C1213274351,0.0,0.0,1,0
TRANSFER,934641.91,C2130229405,0.0,0.0,C988138425,3399588.49,4310701.91,0,0
TRANSFER,3671853.86,C1476946789,3671853.86,0.0,C1192579273,0.0,0.0,1,0
TRANSFER,75428.26,C1628031162,0.0,0.0,C1149788645,153981.26,79915.4,0,0
CASH_OUT,35381.41,C713674695,108794.0,73412.59,C461640598,10072389.74,11547845.68,0,0
CASH_OUT,132361.54,C598978484,0.0,0.0,C1750563752,160101.66,112275.31,0,0
CASH_OUT,167630.41,C298413964,148.0,0.0,C1260889084,1636323.64,2731193.68,0,0
TRANSFER,1895158.63,C187003586,1895158.63,0.0,C825722694,0.0,0.0,1,0
CASH_OUT,47930.29,C1896352713,57826.0,9895.71,C381605910,51935.85,759872.18,0,0
CASH_OUT,259457.85,C889407057,16534.0,0.0,C1778300121,3089439.33,3854911.49,0,0
CASH_OUT,101116.28,C711438200,0.0,0.0,C1371191175,110645.44,1093896.21,0,0
CASH_OUT,224913.14,C1498577424,224913.14,0.0,C1275981046,1063073.21,1287986.36,1,0
CASH_OUT,347893.16,C238168336,347893.16,0.0,C1904688635,0.0,347893.16,1,0
TRANSFER,915672.67,C835019402,915672.67,0.0,C742104229,0.0,0.0,1,0
CASH_OUT,56043.32,C1074852341,0.0,0.0,C1053338766,97810.0,367270.59,0,0
CASH_OUT,258355.42,C1113162093,258355.42,0.0,C797688696,25176.67,283532.09,1,0
CASH_OUT,147982.87,C1926156951,0.0,0.0,C717951588,472988.43,989801.23,0,0
TRANSFER,10000000.0,C501435638,19299230.13,9299230.13,C201807091,0.0,0.0,1,0
CASH_OUT,131955.33,C1806252120,30198.0,0.0,C1105901057,2288673.33,2420628.66,0,0
CASH_OUT,307646.86,C1054807547,0.0,0.0,C1407083386,1282673.96,1013969.68,0,0
TRANSFER,179700.14,C307539719,179700.14,0.0,C434694643,0.0,0.0,1,0
TRANSFER,102660.35,C1381052482,102660.35,0.0,C1661818844,0.0,0.0,1,0
TRANSFER,8488865.83,C2072377567,8488865.83,0.0,C816064707,0.0,0.0,1,0
TRANSFER,246938.77,C1588962215,246938.77,0.0,C1667993735,0.0,0.0,1,0
CASH_OUT,8434.08,C2035219699,30065.0,21630.92,C1562946595,0.0,0.0,0,0
TRANSFER,2979972.78,C1904352957,2979972.78,0.0,C436096516,0.0,0.0,1,0
TRANSFER,336317.82,C1732145097,0.0,0.0,C663929766,2628231.43,3366530.7,0,0
CASH_OUT,264071.62,C48554357,0.0,0.0,C458582664,8176105.68,12776817.91,0,0
TRANSFER,225559.92,C1915356334,420.0,0.0,C696705647,227361.57,0.0,0,0
TRANSFER,981780.4,C1285789872,15484.03,0.0,C675203915,1398733.11,5398127.54,0,0
TRANSFER,371732.09,C1738267135,22667.62,0.0,C1491213790,1679978.85,2051710.94,0,0
CASH_OUT,464363.56,C2076723165,0.0,0.0,C1883840933,22194312.68,25330272.63,0,0
TRANSFER,1448630.38,C101899927,1448630.38,0.0,C679483948,0.0,0.0,1,0
CASH_OUT,178008.49,C752439852,0.0,0.0,C820910648,963714.25,1342251.58,0,0
CASH_OUT,143733.34,C1158048713,0.0,0.0,C1034584766,5015719.41,7164410.37,0,0
CASH_OUT,287991.39,C880033170,389548.04,101556.65,C1380252219,748825.04,866374.77,0,0
CASH_OUT,884821.37,C1865310403,884821.37,0.0,C1762365059,1628388.92,2513210.29,1,0
CASH_OUT,104922.21,C1267337119,0.0,0.0,C118648358,948711.06,1546407.39,0,0
TRANSFER,2014771.88,C1688250543,0.0,0.0,C2083562754,9941495.25,18123750.85,0,0
CASH_OUT,85016.25,C2060963245,0.0,0.0,C1246134024,252670.01,1268132.69,0,0
CASH_OUT,415296.01,C1951055622,0.0,0.0,C1782113663,3966733.18,6002040.86,0,0
CASH_OUT,418386.83,C457889470,40240.28,0.0,C471192303,620830.85,1195553.31,0,0
CASH_OUT,607684.02,C1995047813,607684.02,0.0,C1810856999,1788810.68,2396494.7,1,0
CASH_OUT,42338.6,C2033998618,66593.0,24254.4,C845786722,0.0,42338.6,0,0
TRANSFER,29647.73,C1591196074,28908.0,0.0,C988138425,2620001.28,4310701.91,0,0
CASH_OUT,78423.74,C1994471008,0.0,0.0,C1167066016,177441.88,641979.14,0,0
CASH_OUT,171020.84,C1884212425,0.0,0.0,C1150575867,1288434.88,2166249.94,0,0
CASH_OUT,323869.19,C804356745,0.0,0.0,C1556875182,3575767.54,5584614.98,0,0
CASH_OUT,249720.92,C1028152017,71.0,0.0,C1354774829,70687.71,554897.58,0,0
CASH_OUT,697899.75,C270605726,0.0,0.0,C1889395764,14616087.88,15766279.1,0,0
TRANSFER,889317.19,C2073091559,0.0,0.0,C1704308874,1340121.47,2414501.11,0,0
TRANSFER,10000000.0,C413407419,12426076.89,2426076.89,C2065262017,0.0,0.0,1,0
TRANSFER,1467885.1,C2138087721,20357.0,0.0,C409060521,165980.64,1379207.44,0,0
TRANSFER,581294.26,C843299092,0.0,0.0,C1590550415,5195482.15,19169204.93,0,0
CASH_OUT,58679.0,C2133552592,0.0,0.0,C447691425,4678796.89,6795453.82,0,0
CASH_OUT,135956.74,C1695445003,70279.0,0.0,C546044341,18904.0,154860.74,0,0
CASH_OUT,65655.35,C1063777791,0.0,0.0,C1060041730,100272.0,916266.8,0,0
CASH_OUT,513711.02,C797529394,0.0,0.0,C937195105,1262784.56,1372628.46,0,0
CASH_OUT,59257.31,C1480839267,0.0,0.0,C691896786,109851.0,277862.38,0,0
CASH_OUT,4526748.52,C565197810,4526748.52,0.0,C725918022,416831.26,4943579.77,1,0
CASH_OUT,21413.62,C1083872637,0.0,0.0,C488044861,461780.37,218225.48,0,0
CASH_OUT,1532229.72,C685396140,1532229.72,0.0,C961098321,89278.84,1621508.56,1,0
TRANSFER,35759.12,C1139136882,35759.12,0.0,C1587529790,0.0,0.0,1,0
CASH_OUT,161858.74,C1753225073,60044.0,0.0,C1777850916,0.0,255101.44,0,0
TRANSFER,520037.86,C1214996990,433968.39,0.0,C956986674,1358786.62,2089720.9,0,0
CASH_OUT,105174.15,C775486029,155.0,0.0,C1148052483,87447.0,99184.03,0,0
CASH_OUT,181730.24,C1782685535,0.0,0.0,C405881980,2896779.55,3078509.79,0,0
CASH_OUT,103259.43,C884083729,0.0,0.0,C1007483565,103787.96,101388.35,0,0
CASH_OUT,1152538.9,C1040108506,1152538.9,0.0,C1101565058,0.0,1152538.9,1,0
CASH_OUT,521717.69,C1556193475,0.0,0.0,C93166806,1705093.34,2226811.03,0,0
CASH_OUT,206659.26,C662967389,3482.02,0.0,C769342184,12429426.33,12450400.32,0,0
CASH_OUT,85423.63,C460741164,0.0,0.0,C1590550415,5776776.41,19169204.93,0,0
CASH_OUT,215057.32,C2143559770,132.0,0.0,C810334748,225619.56,440676.88,0,0
TRANSFER,1571619.71,C369749333,0.0,0.0,C1286084959,5658744.75,7488671.79,0,0
CASH_OUT,322218.1,C1461499836,2471.0,0.0,C526035976,1311602.41,404380.68,0,0
CASH_OUT,123807.72,C1846970888,0.0,0.0,C910539221,1926275.95,2134929.91,0,0
CASH_OUT,1576531.53,C2000069930,1576531.53,0.0,C1345448010,0.0,1576531.53,1,0
TRANSFER,4400457.84,C1584907362,4400457.84,0.0,C1968032236,0.0,0.0,1,0
TRANSFER,358507.32,C481554332,0.0,0.0,C1627965794,1039938.03,1557376.47,0,0
CASH_OUT,92587.95,C608729801,0.0,0.0,C503195940,350000.61,614329.95,0,0
CASH_OUT,35740.19,C2031940492,0.0,0.0,C1453382929,126859.14,162599.33,0,0
CASH_OUT,210768.82,C809514468,0.0,0.0,C849038219,2109126.54,1337271.15,0,0
TRANSFER,296333.54,C1473328942,296333.54,0.0,C1650053869,0.0,0.0,1,0
TRANSFER,304085.48,C378617827,304085.48,0.0,C1265131322,0.0,0.0,1,0
